GeneSymbol,GSM1498849,GSM1498850,GSM1498851,GSM1498852,GSM1498853,GSM1498854,GSM1498855,GSM1498856
SHLD1,9.542425,8.220162,8.212866,9.456676,7.863872,7.7830286,7.528484,7.8349175
SHLD2,6.1448477,6.14549235,6.1841495,5.92760375,6.8905022,6.8778733,7.1755819,7.175362
SHMT1,8.761254,8.27760585,8.27271665,8.79149,7.587742,7.572998,8.527227,8.502331
SHMT2,4.52757045,4.74811615,4.27015495,4.73592065,5.40603615,5.39238135,5.0814648,4.97516575
SHOC1,5.195528,4.012566,3.8029447,5.1122656,4.04753,3.717347,3.3179374,3.351716
SHOC2,5.115294,5.0139422,4.9805784,5.3051972,6.5118656,6.4966965,6.2625694,6.3550076
SHOX2,4.5718285,4.226460367,4.184969833,4.727596167,3.956055167,3.679363967,4.504978067,4.497685833
SHROOM1,7.1128262,6.29452385,6.3636794,7.15108525,5.85878475,5.82066185,5.8366068,5.7060321
SHROOM3,6.367919,6.5370245,6.6470804,6.510536,6.6609573,6.665575,5.353622,5.3725157
SIAE,5.705091,6.0623093,6.0102725,5.9383683,5.7534184,5.78639,5.921841,5.8965244
SIAH2,8.430347,9.183319,9.206683,8.42928,9.616566,9.665742,9.105825,9.091381
SIAH3,4.3728466,4.208605,4.032571,4.7745576,2.8501818,3.109817,5.5663905,5.899263
SIDT1,6.4307923,5.9512515,5.830736,6.3568907,4.3998876,4.173917,4.6503887,4.71239
SIDT2,5.0477633,5.3113723,5.0786514,5.257574,5.526144,5.3585877,5.833046,5.610634
SIGIRR,10.600901,9.940767,9.928072,10.59557,9.946017,9.916454,9.507831,9.499568
SIGLEC1,3.272222,2.860167,3.5539594,2.4148831,5.039479,5.0224004,5.3119383,5.293185
SIGLEC10,4.0994105,3.9819636,3.7019746,3.5916944,4.783084,4.4581075,4.000787,4.169645
SIGLEC12,5.107418,5.981118,5.768488,4.8820558,5.9439535,5.9294324,5.8827977,5.90231
SIGLEC15,6.599596,6.937916,6.819934,6.539784,6.4099336,6.506855,6.2997136,6.18181
SIGLEC6,6.3589808,6.51801325,6.530052125,6.462221825,6.3387994,6.33894785,6.608027,6.7228133
SIGLEC7,7.39595865,7.8749105,7.845531,7.39726435,7.6266147,7.6550395,7.77825615,7.751712
SIGLEC8,5.467617,5.4410844,5.495836,5.1846695,5.411122,5.346751,4.876918,4.7941694
SIGLEC9,2.875182,6.861204,6.6991043,3.066119,5.5455523,5.612961,6.298034,6.3147354
SIGMAR1,7.9242577,7.51191635,7.4703352,7.87710915,7.9060635,7.89846265,7.8483968,7.8716125
SIK2,6.926765,5.5540237,5.56988,6.9554396,5.4736204,5.3531103,4.792657,4.8347383
SIK3,7.903947575,7.036972,7.168919175,7.8877507,7.4988091,7.4713788,7.606296175,7.6549784
SIKE1,7.818290375,9.40013175,9.4263215,7.817396,9.8144355,9.81386425,8.69135955,8.634737175
SIL1,4.5911064,5.3969345,5.283456,4.861762,5.616971,5.577096,5.600713,5.52879
SIM1,5.359009,5.054039,5.04016,5.713123,4.3581514,4.407158,4.998478,4.8936095
SIM2,7.88766575,7.4607785,7.55791915,7.882421,7.3869005,7.43356065,7.1954075,7.187256
SIMC1,9.592979,9.919993,9.943822,9.621973,8.79516,8.836573,9.266284,9.26605
SIN3A,4.794833,4.671839,4.7211137,4.958007,5.2709866,5.2463617,3.8106773,3.3187613
SIN3B,6.568604,6.5098476,6.5146036,6.52536,7.133145,7.1508856,5.9396977,5.8962674
SINHCAF,8.103937,7.644683,7.5721016,8.067616,7.1713886,7.1218867,7.041376,7.08648
SIPA1,8.2051735,8.366589,8.3639555,8.187594,7.827184,7.88086,8.154715,8.112104
SIPA1L1,9.2205433,8.645144,8.71483165,9.2387715,9.0051385,9.010083,8.9504605,8.96715975
SIPA1L2,3.1424422,5.1884356,5.2124977,3.0776489,4.824612,4.883941,5.1172347,4.9732256
SIPA1L3,9.081056,8.610219,8.563991,9.116802,7.9899683,7.9147196,7.605474,7.620759
SIRPA,11.896399,11.255124,11.244056,11.92532,12.391694,12.335419,9.924161,9.887068
SIRPB2,6.16145915,5.82394315,5.7795327,6.08160025,5.022924,5.02668065,4.8051055,4.738926
SIRPG,8.629737333,8.424319,8.448504167,8.596147,8.117912667,8.119061533,7.842589667,7.8561868
SIRT1,6.9667722,5.98808225,6.1647005,6.897807,6.2839588,6.28873875,5.84408535,5.9511338
SIRT2,7.460847,7.7201247,7.6893716,7.4022064,8.4906845,8.49868,7.7563934,7.6870055
SIRT3,8.71515725,8.38982105,8.4200365,8.75989785,7.96468725,7.9392065,8.42914585,8.4708297
SIRT4,4.6915207,4.0715213,4.186097,4.523733,4.146626,4.2641864,4.648177,4.72054
SIRT5,8.858541333,7.953866667,7.909063667,8.86498,8.214500667,8.198138667,8.224423833,8.2166609
SIRT6,6.35902835,5.0359887,5.03947165,6.3657665,5.66268255,5.67135865,5.93500545,6.0432098
SIRT7,5.067193,4.407158,4.788814,5.00308,3.9394965,3.9590476,3.8540988,4.04753
SIT1,7.04724,6.5503716,6.441933,6.8624215,6.6478786,6.6267962,6.6504116,6.6803684
SIVA1,10.09645747,10.47331907,10.506265,10.1058202,10.1081849,10.1268488,10.35413757,10.3222895
SIX1,8.3166792,6.9228212,6.90705185,8.15865365,6.32976745,6.28698185,6.7233955,6.6984223
SIX2,5.273358,5.311522,5.195528,5.114897,4.654935,4.8653107,4.7599597,4.764055
SIX3,5.6920114,5.9284625,5.6510677,5.6401024,5.9483724,5.932189,6.2134447,6.0365486
SIX4,6.335415,6.1738386,6.228247,6.422157,6.0987453,6.1873374,6.3025064,6.4397187
SKA2,9.114101,10.388847,10.412093,9.156354,10.688924,10.671298,10.828031,10.836269
SKA3,8.582704,8.941365,8.961831,8.5990775,8.0282155,8.048638,7.9515287,7.89018865
SKAP1,2.3671098,7.1887975,7.1768985,2.4148831,8.725579,8.738138,7.1972604,7.3139443
SKAP2,17.705023,17.153254,17.171772,17.675827,15.761344,15.761344,16.698053,16.711393
SKIDA1,5.81122635,5.31930535,5.39113775,5.889309,4.4970657,4.49328565,4.682484,4.73177195
SKIL,5.551599,5.077114933,4.902924967,5.595846867,7.9112901,7.880886333,5.698543667,5.6224536
SKIV2L,7.0366344,6.2490606,6.209158,6.9580245,6.4173756,6.4761267,5.9855623,5.95512
SKOR1,4.7764583,3.807294,4.2259665,4.8958054,2.8231103,2.617786,5.0252914,4.981153
SKP1,9.2587728,9.807296,9.8713418,9.2573365,10.1732765,10.19678235,10.016166,10.01789465
SKP2,8.661716,9.424526,9.492207,8.683433,8.616958,8.622166,8.61076,8.573256
SLA2,7.59048335,7.9583875,7.96343415,7.61305365,7.38250975,7.340223,7.1813188,7.13246835
SLAIN1,7.76620025,7.6279085,7.6738232,7.65588,6.5986222,6.568817,6.64618965,6.6273567
SLAIN2,6.7860117,7.5447116,7.453969,6.952734,8.141289,8.139883,7.7126894,7.6632767
SLAMF1,4.0357275,6.0228157,5.9439535,4.3716264,5.4377723,5.377437,7.2607136,7.1797113
SLAMF6,4.56901815,4.906155,4.71470715,4.7206145,4.20916285,4.4858947,4.85557605,4.80219375
SLAMF7,6.184934,6.3506618,6.3544703,6.4253516,6.083775,6.0121555,5.670121,5.579878
SLAMF8,5.266182,5.9004884,5.9395776,5.0383654,5.6475773,5.5875454,6.0476227,6.114815
SLAMF9,4.734813,6.92618445,6.8770053,4.4989123,5.33617525,5.4214294,5.22917685,5.2180529
SLBP,9.636018,10.319869,10.294608,9.664422,11.3201885,11.341109,10.704679,10.714214
SLC10A2,5.518275,5.0138264,5.2098308,5.795973,4.5345135,4.563349,4.772888,5.0525856
SLC10A3,7.59107,7.72781635,7.673399,7.61857105,8.0035305,8.000593,7.5991975,7.55579215
SLC10A4,7.586134,7.9876695,8.040075,7.6399484,8.192004,8.196782,7.510635,7.5522943
SLC10A5,4.745604,5.1650915,4.9275503,4.618333,4.133641,4.4333563,4.345535,4.557307
SLC10A6,6.1055617,6.6836557,6.6634016,6.2740674,6.527018,6.573203,6.3927073,6.472757
SLC11A1,7.0442047,8.305897,8.340809,6.98089,7.686494,7.5538187,7.813918,7.7906933
SLC11A2,5.902452867,6.297535,6.3413174,5.865963567,5.331689967,5.403111867,6.1825461,6.22178
SLC12A1,5.0064568,4.9186278,5.0884876,5.1006377,5.148892,5.124287,4.71384825,4.56898085
SLC12A2,8.7885945,9.2330027,9.1188086,9.025984,7.0510105,7.3714141,9.1362855,9.2190622
SLC12A3,6.27487935,6.012426,5.98690075,6.2584033,5.5507295,5.4798097,5.88011225,5.82964775
